Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
158,V for Vendetta,2005,8.1,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
,,,,
159,Det sjunde inseglet,1957,8.1,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
,,,,
160,Inside Out,2015,8.1,"Pete Docter (dir.), Amy Poehler, Bill Hader"
,,,,
161,Warrior,2011,8.1,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
,,,,
162,The Elephant Man,1980,8.1,"David Lynch (dir.), Anthony Hopkins, John Hurt"
,,,,
163,Trainspotting,1996,8.1,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
,,,,
164,The Sixth Sense,1999,8.1,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
,,,,
165,The Thing,1982,8.1,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
,,,,
166,Jurassic Park,1993,8.1,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
,,,,
167,Gone with the Wind,1939,8.1,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
,,,,
168,The Truman Show,1998,8.1,"Peter Weir (dir.), Jim Carrey, Ed Harris"
,,,,
169,Smultronstället,1957,8.1,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
,,,,
170,Finding Nemo,2003,8.1,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
,,,,
171,Blade Runner,1982,8.1,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
,,,,
172,Stalker,1979,8.1,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy"
,,,,
173,Kill Bill: Vol. 1,2003,8.1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
,,,,
174,Room,2015,8.1,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
,,,,
175,The Bridge on the River Kwai,1957,8.1,"David Lean (dir.), William Holden, Alec Guinness"
,,,,
176,Fargo,1996,8.1,"Joel Coen (dir.), William H. Macy, Frances McDormand"
,,,,
177,Salinui chueok,2003,8.1,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim"
,,,,
178,Tôkyô monogatari,1953,8.1,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
,,,,
179,The Third Man,1949,8.1,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
,,,,
180,Gran Torino,2008,8.1,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
,,,,
181,On the Waterfront,1954,8.1,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
,,,,
182,The Deer Hunter,1978,8.1,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
,,,,
183,Relatos salvajes,2014,8.1,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
,,,,
184,Klaus,2019,8.1,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
,,,,
185,In the Name of the Father,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
,,,,
186,Mary and Max,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
,,,,
187,Andhadhun,2018,8.1,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu"
,,,,
188,Gone Girl,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
,,,,
189,The Grand Budapest Hotel,2014,8.1,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
,,,,
190,Hacksaw Ridge,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
,,,,
191,Before Sunrise,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
,,,,
192,Catch Me If You Can,2002,8.1,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
,,,,
193,The Big Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
,,,,
194,Persona,1966,8.1,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
,,,,
195,Eskiya,1996,8.1,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel"
,,,,
196,To Be or Not to Be,1942,8.1,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
,,,,
197,Prisoners,2013,8.1,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
,,,,
198,Sherlock Jr.,1924,8.1,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
,,,,
199,Ford v. Ferrari,2019,8.1,"James Mangold (dir.), Matt Damon, Christian Bale"
,,,,
200,The General,1926,8.1,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
,,,,
201,How to Train Your Dragon,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
,,,,
202,Mr. Smith Goes to Washington,1939,8.1,"Frank Capra (dir.), James Stewart, Jean Arthur"
,,,,
203,12 Years a Slave,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
,,,,
204,Barry Lyndon,1975,8.1,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
,,,,
205,Mad Max: Fury Road,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
,,,,
206,Million Dollar Baby,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
,,,,
207,Network,1976,8.1,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
,,,,
208,Stand by Me,1986,8.1,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
,,,,
209,Cool Hand Luke,1967,8.1,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
,,,,
210,Dead Poets Society,1989,8.1,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
,,,,
211,Hachi: A Dog's Tale,2009,8.1,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
,,,,
212,Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
,,,,
213,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
,,,,
214,Into the Wild,2007,8.1,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
,,,,
215,Platoon,1986,8.1,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
,,,,
216,Logan,2017,8.1,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
,,,,
217,Life of Brian,1979,8,"Terry Jones (dir.), Graham Chapman, John Cleese"
,,,,
